idx,A_fr,Aq,NTU,eps,dp_hot,dp_cold,t_hot_out,t_cold_out,re_hot,re_cold,g2_hot,g2_cold,Aq/Ao_c,Aq/Ao_h,dW_Ex,dW_Eu,R_c/R_t,valid
38,0.07054802310718641,16.0,2.442243706353089,0.8976333336085084,-53.1244328313356,2.873480883014423e-06,727.7695583645573,725.3835334747732,6830123.727435912,165366.72543572303,3.543709914475192,8.209070949851415e-05,2597.936047874583,269.2406449615477,-0.018489346881021745,-11.831932470787999,0.4157569419776745,False
39,0.0657933224657568,16.0,2.6068805807434368,0.911752705745872,-60.815440965740876,3.4870440308587547e-06,726.9794559123412,732.6408907533782,7323717.795204496,177317.31929590652,4.074405263828162,9.438436750307997e-05,2785.6816690149567,288.6979184251864,-0.019130646567339576,-12.032967078513382,0.41714677070253237,False
40,0.06135907273413173,16.0,2.7828765646512497,0.9246801380383757,-69.56806517026382,4.229390715648762e-06,726.2560529270105,739.2855909517251,7852982.535051495,190131.5493757392,4.684575954171787,0.00010851908679285695,2986.995144639748,309.56131498993756,-0.01976999068646787,-12.225896641045479,0.41851186549681096,False
41,0.05722367659350217,16.0,2.9710287935518087,0.936397283342011,-79.52197806856196,5.127149032224665e-06,725.6003760918575,745.3082036377937,8420495.767355252,203871.82826564243,5.386123973781034,0.00012477057917426127,3202.856985901186,331.93245126612294,-0.020407186461336164,-12.411074732510864,0.419852329088497,False
42,0.0533669923120631,16.0,3.172190998225403,0.9469030258441478,-90.83364313043114,6.212425512019948e-06,725.0124878463652,750.708155283892,9029021.6044117,218605.07894056608,6.192733716934193,0.00014345584622543387,3434.318562768621,355.92028741420256,-0.02104203380394734,-12.588837790112436,0.4211682806141802,False
43,0.049770235643321115,16.0,3.387277552569781,0.9562137920214415,-103.67794915941053,7.523947305410061e-06,724.4914689853903,755.4938890990209,9681523.913233723,234403.0607129482,7.120138911680507,0.00016493936272839445,3682.5072247983953,381.64165784274275,-0.021674324757259084,-12.759504528926811,0.4224598548735697,False
44,0.046415888336127774,16.0,3.6172678121727455,0.9643632767864698,-118.24990196116781,9.108449353423254e-06,724.0354339836562,759.6827242682455,10381180.751269644,251342.71874139024,8.186429521908298,0.0001896401861134163,3948.6317919675225,409.22184025845235,-0.022303842409153136,-12.923375466765432,0.4237272015843186,False
45,0.04328761281083057,16.0,3.8632107645829934,0.971401541792916,-134.76634179490998,1.1022359936330162e-05,723.64158145347,763.3003924815588,11131399.845350942,269506.55879735254,9.412404610144605,0.00021804013059242895,4233.98844231466,438.7951658398829,-0.022930359238754822,-13.080732607620417,0.42497048463921233,False
46,0.040370172585965536,16.0,4.126230013727438,0.9773934769526547,-153.46764199528758,1.3333849201435655e-05,723.3062802363075,766.3802471536644,11935835.189260595,288983.049115199,10.821978044027654,0.000250693165426081,4539.967025064555,470.50567350669024,-0.023553634870546587,-13.231839323488446,0.42618988136765945,False
47,0.037649358067924674,16.0,4.407529122542183,0.9824166574331077,-174.61932714433993,1.6125318630377805e-05,723.0251893225674,768.9621619206173,12798404.840761518,309867.0512828272,12.442644960161504,0.0002882362206470384,4868.057829984441,504.50781147111485,-0.024173413225095794,-13.376940461305969,0.42738558180328823,False
48,0.03511191734215131,16.0,4.708397339620357,0.9865586739765482,-198.51352741689323,1.94964253634744e-05,722.7934072435731,771.0911584239458,13723310.004766826,332260.2822715675,14.306018084196067,0.0003314016110159377,5219.85884594302,540.9671894886402,-0.024789419063677796,-13.516262684552743,0.42855778795933636,False
49,0.03274549162877728,16.0,5.030215737541182,0.9899140601697357,-225.4701580376834,2.3567754363629234e-05,722.6056440177315,772.8158269272442,14715055.495597798,356271.8098556995,16.448444368590938,0.0003810313205516536,5597.083544025333,580.0613854717163,-0.025401353924493015,-13.650015038609482,0.42970671311338354,False
50,0.030538555088334154,16.0,5.37446379254027,0.9925809810340045,-255.83767771651947,2.8485274349510092e-05,722.4564064529004,774.1866242514784,15778471.677992389,382018.58383456094,18.911713976197916,0.00043809342626990075,6001.569223111737,621.9808103952165,-0.026008891437805062,-13.778389706640693,0.43083258110286193,False
